Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,비타민C,오메가3,칼슘,루테인,비타민D,밀크씨슬(실리마린),프로바이오틱스(유산균),비타민B,마그네슘,가르시니아,종합비타민,아연,차전자피 식이섬유,미네랄,비타민A,철분,포스파티딜세린,엽산,아르기닌,콘드로이친,코엔자임Q10,콜라겐
5,5,5,5,1,5,1,1,1,1,0.469259,0.000000,0.995891,0.039520,0.581889,0.000000,1.000000,1.000000,0.619828,0.063066,0.338368,0.423359,0.518913,0.707752,0.534097,0.491443,0.986182,0.000000,1.000000,1.000000,0.568787,1.000000
1,5,1,5,1,1,1,1,5,5,0.035675,0.708060,0.937760,0.000000,0.569762,0.030018,0.995392,0.021944,0.348259,1.000000,0.312870,0.449065,1.000000,0.653005,0.070779,0.568586,0.000000,1.000000,0.000000,1.000000,0.496767,0.408949
3,3,4,4,4,3,3,3,3,3,0.722187,0.559798,0.530804,0.566194,0.670472,0.503388,0.791888,0.590650,0.681506,0.519661,0.676992,0.768498,0.666152,0.494009,0.548163,0.523233,0.781514,0.547213,0.512064,0.550050,0.522810,0.556504
5,5,4,3,3,1,3,5,4,1,0.357263,0.497201,0.988751,0.554169,0.776052,1.000000,0.497493,0.720639,0.754304,0.769581,0.548237,0.565460,0.607425,0.606037,0.297454,0.550164,0.789836,0.045419,1.000000,1.000000,0.916805,0.377091
1,1,5,5,5,1,5,1,1,5,0.577570,0.539045,0.055561,0.971352,0.472813,0.000000,1.000000,0.359411,0.650581,0.033189,0.707414,1.000000,0.621255,0.037539,0.581988,0.488192,1.000000,1.000000,0.000000,0.011828,0.008526,0.000000
3,3,2,1,2,3,4,3,3,3,0.409297,0.586616,0.500874,0.769016,0.465184,0.527770,0.004561,0.416865,0.391926,0.549946,0.453436,0.150350,0.230149,0.519851,0.631360,0.508337,0.283717,0.512829,0.499303,0.520365,0.525330,0.522889
4,2,3,3,3,3,3,4,3,4,0.577327,0.630500,0.240937,0.526377,0.384824,0.774699,0.508213,0.660250,0.501805,0.517552,0.751491,0.535923,0.516441,0.452490,0.501216,0.768369,0.513583,0.759655,0.758584,0.297435,0.672322,0.444018
1,1,5,2,1,3,2,4,1,1,0.259865,0.124357,0.000000,0.244112,0.043094,0.732094,0.307875,0.447185,0.596197,0.000000,0.009019,0.152420,0.154337,0.210063,0.355804,0.010438,0.982253,0.043884,0.063788,0.020628,0.004654,0.333676
4,3,3,3,4,4,4,3,4,2,0.792313,0.685636,0.527743,0.753299,0.696831,0.552831,0.570522,0.690676,0.624545,0.784481,0.653660,0.654934,0.615534,0.653296,0.815055,0.507047,0.551539,0.270365,0.800067,0.517589,0.788841,0.660431
1,1,5,1,1,1,1,5,1,1,0.056148,0.021688,0.017674,0.015702,0.000000,1.000000,0.000000,0.372324,0.612995,0.028852,0.020742,0.025160,0.022958,0.022363,0.000000,0.000000,1.000000,0.028796,0.080948,0.000000,0.000000,0.000000
5,5,5,1,5,1,1,1,1,5,0.636687,0.256714,0.982940,0.046533,1.000000,0.000000,0.073180,0.879179,0.638629,0.054334,1.000000,0.547865,0.046564,0.334566,0.004110,1.000000,1.000000,1.000000,1.000000,1.000000,0.576365,0.396011
3,3,4,3,2,3,2,3,4,3,0.396279,0.571445,0.527302,0.326667,0.425626,0.513699,0.535017,0.622358,0.791804,0.785101,0.486812,0.384429,0.626358,0.586512,0.410228,0.499346,0.748961,0.526454,0.533631,0.532703,0.627168,0.529288
3,3,4,4,1,4,4,3,3,2,0.321072,0.567526,0.548053,0.796857,0.302710,0.515970,0.757521,0.688159,0.684729,0.497979,0.330509,0.333807,0.635378,0.595211,0.783157,0.375232,0.763510,0.302383,0.520854,0.523039,0.516075,0.669978
3,3,3,3,2,4,3,4,3,2,0.498076,0.484854,0.526059,0.502849,0.375239,0.806973,0.501642,0.590777,0.533278,0.529426,0.403483,0.335446,0.553681,0.586054,0.620410,0.375967,0.535182,0.279656,0.541101,0.533896,0.506235,0.674230
3,3,3,3,3,4,3,2,3,3,0.664540,0.549077,0.518273,0.513065,0.519972,0.262908,0.558924,0.580683,0.538124,0.504136,0.572957,0.522702,0.496445,0.609730,0.629324,0.549578,0.536627,0.532773,0.501195,0.523158,0.515584,0.666950
1,1,1,1,1,5,1,1,1,1,0.442316,0.000000,0.000000,0.000000,0.001782,0.012091,0.000000,0.212859,0.000000,0.000000,0.019052,0.063288,0.002453,0.329485,0.454103,0.000000,0.015628,0.038042,0.000000,0.050023,0.037577,0.618017
3,2,3,4,3,4,3,2,4,2,0.657618,0.587498,0.256110,0.501272,0.405453,0.249094,0.816413,0.563054,0.626684,0.766851,0.449989,0.626530,0.758468,0.626112,0.613447,0.399477,0.520269,0.276584,0.532600,0.204038,0.659030,0.596866
4,2,4,4,5,3,3,3,2,2,0.816481,0.376613,0.267078,0.525727,0.652445,0.536040,0.770954,0.707584,0.574807,0.285619,0.718670,0.911693,0.569756,0.381498,0.474549,0.493001,0.797793,0.297458,0.761175,0.270752,0.515923,0.464354
3,3,3,3,3,3,3,3,3,3,0.560416,0.542148,0.534433,0.513409,0.559951,0.532920,0.565992,0.550383,0.515503,0.526994,0.592266,0.524137,0.520275,0.513573,0.529450,0.519173,0.514931,0.514752,0.521749,0.528008,0.514594,0.501277
5,1,1,1,5,1,5,5,5,1,0.667642,0.748528,0.038020,0.972049,0.425486,1.000000,0.015566,0.441863,0.452312,1.000000,0.669342,0.636035,0.454831,0.342086,0.509148,0.508501,0.000000,0.093575,0.982520,0.040923,1.000000,0.075117
5,4,3,3,3,2,3,3,2,5,0.465528,0.537800,0.758593,0.530157,0.712433,0.542477,0.578519,0.700619,0.426418,0.265732,0.903527,0.528573,0.463485,0.450348,0.404319,1.000000,0.522540,1.000000,1.000000,0.758414,0.681366,0.435893
5,2,2,3,3,3,3,3,4,4,0.511709,0.725408,0.269855,0.516879,0.420716,0.540097,0.539668,0.689710,0.485853,0.787439,0.841254,0.510999,0.630424,0.526349,0.489406,0.868201,0.282063,0.808261,1.000000,0.254789,0.928388,0.419112
3,4,2,3,3,3,3,3,4,3,0.574337,0.654408,0.778514,0.514091,0.682127,0.526424,0.551865,0.454798,0.454427,0.747782,0.550770,0.523808,0.624300,0.704005,0.496072,0.502078,0.232259,0.505067,0.500882,0.807634,0.629531,0.632650
4,2,4,3,2,3,2,3,2,4,0.414475,0.413449,0.241399,0.289057,0.310855,0.488218,0.540434,0.722892,0.534823,0.248719,0.650631,0.383283,0.416339,0.343593,0.407953,0.774844,0.783134,0.788251,0.750226,0.303280,0.537843,0.389527
5,1,5,1,1,1,1,5,1,1,0.023190,0.060198,0.022733,0.038670,0.084781,1.000000,0.057176,0.804525,0.560798,0.016846,0.303551,0.005697,0.000000,0.015488,0.059265,0.506964,1.000000,0.060065,1.000000,0.012789,0.562000,0.000000
3,3,3,2,3,1,4,3,2,4,0.323038,0.576570,0.483759,0.761867,0.592598,0.499627,0.304093,0.430057,0.424586,0.242892,0.680878,0.417802,0.261975,0.254160,0.406295,0.653331,0.510494,0.787240,0.543341,0.526945,0.406445,0.182508
4,3,4,3,2,2,3,4,2,2,0.240407,0.323078,0.529871,0.515624,0.417788,0.765638,0.529085,0.660260,0.578720,0.271152,0.452423,0.364709,0.409821,0.376539,0.402927,0.501844,0.791164,0.287391,0.783037,0.513468,0.544095,0.364224
5,5,1,5,5,1,1,5,5,5,0.603005,0.759631,0.997152,0.000000,0.964769,0.997339,1.000000,0.543191,0.400167,1.000000,1.000000,1.000000,1.000000,0.641533,0.000000,1.000000,0.018296,0.981342,0.999855,0.972778,1.000000,0.425521
2,2,3,4,4,4,3,2,4,3,0.802948,0.634880,0.286263,0.515004,0.520084,0.246497,0.820323,0.445786,0.627745,0.788382,0.592285,0.724357,0.770475,0.596128,0.640045,0.395175,0.521293,0.510603,0.272298,0.240609,0.506518,0.592595
1,1,5,5,5,1,5,5,1,5,0.596074,0.584498,0.041677,1.000000,0.486182,1.000000,0.994587,0.292895,0.625474,0.000000,0.732711,0.957291,0.573413,0.011755,0.556881,0.493072,0.986038,1.000000,0.015999,0.028240,0.060208,0.055691
3,3,3,4,2,1,3,2,1,4,0.183385,0.314293,0.530038,0.547982,0.405416,0.260116,0.776678,0.372543,0.290457,0.000000,0.581483,0.437739,0.395491,0.215860,0.256901,0.679434,0.548388,0.767691,0.520022,0.526590,0.290911,0.196348
4,3,4,3,3,2,1,2,2,4,0.423093,0.298730,0.533380,0.013442,0.541206,0.222919,0.539920,0.726526,0.568645,0.227446,0.715704,0.513366,0.393856,0.355057,0.119853,0.796628,0.753998,0.808877,0.778536,0.522155,0.503569,0.387585
3,3,4,3,3,3,2,3,3,2,0.537913,0.418890,0.524267,0.270542,0.529528,0.505046,0.564221,0.607780,0.694242,0.506166,0.475556,0.514858,0.502139,0.509995,0.410663,0.399290,0.775130,0.259264,0.540533,0.516196,0.489571,0.539865
4,3,4,4,3,3,2,3,4,4,0.538904,0.654923,0.532661,0.259520,0.513207,0.528276,0.809119,0.697644,0.768325,0.756625,0.748284,0.642647,0.784310,0.594618,0.361085,0.758527,0.763403,0.757618,0.802505,0.501846,0.730159,0.510956
4,5,2,4,3,3,4,4,4,4,0.559615,0.797940,0.996453,0.793144,0.846116,0.763305,0.817249,0.554953,0.465002,0.736086,0.739995,0.667651,0.770406,0.789985,0.655051,0.785505,0.287776,0.769900,0.776133,1.000000,0.776724,0.756657
2,3,3,4,2,3,3,3,3,3,0.402106,0.537504,0.525221,0.516135,0.428992,0.530910,0.798554,0.404874,0.489874,0.513827,0.401042,0.500578,0.641703,0.527498,0.533391,0.381743,0.518378,0.509925,0.280613,0.516659,0.402128,0.495039
3,3,3,4,4,3,2,1,3,2,0.668618,0.403734,0.493682,0.280615,0.660083,0.047918,0.761025,0.492221,0.525052,0.480315,0.594880,0.760642,0.653438,0.525977,0.367143,0.385923,0.515514,0.242217,0.505154,0.500734,0.519308,0.530692
5,1,5,1,5,1,1,5,5,1,0.649399,0.451708,0.001317,0.025285,0.431454,1.000000,0.000000,0.927622,1.000000,0.999566,0.672700,0.547020,0.484116,0.322930,0.029759,0.439483,0.987536,0.036301,0.962224,0.000000,1.000000,0.002120
1,1,1,5,1,1,1,1,1,1,0.004482,0.000000,0.037601,0.004819,0.021346,0.021788,1.000000,0.016725,0.000000,0.030757,0.040485,0.377188,0.579454,0.000000,0.071368,0.002413,0.022732,0.057583,0.050297,0.000000,0.006601,0.005214
2,2,4,4,4,2,3,3,4,4,0.602936,0.722227,0.253059,0.473593,0.554680,0.499163,0.793717,0.429554,0.767608,0.787461,0.654179,0.809936,0.759367,0.416847,0.409073,0.542316,0.779552,0.769652,0.257610,0.274141,0.470884,0.246946
5,1,5,5,1,5,5,1,5,1,0.409450,0.734620,0.000000,1.000000,0.100653,0.006938,1.000000,0.981292,0.979249,1.000000,0.405266,0.405392,1.000000,0.680040,1.000000,0.448357,1.000000,0.000000,0.985121,0.043953,1.000000,0.714698
1,1,1,5,1,1,1,1,5,5,0.017465,0.637010,0.021219,0.054881,0.026103,0.030732,1.000000,0.028889,0.452798,1.000000,0.371529,0.441482,1.000000,0.370932,0.025529,0.548976,0.027740,1.000000,0.038046,0.031496,0.498132,0.019142
3,3,3,3,2,4,3,1,3,3,0.521789,0.528077,0.507647,0.511961,0.411991,0.028911,0.569218,0.578240,0.476420,0.497035,0.476220,0.364684,0.497607,0.615269,0.678942,0.487442,0.543938,0.516385,0.497556,0.505588,0.537291,0.685745
5,1,5,5,1,5,1,1,1,1,0.392581,0.014195,0.011177,0.014369,0.060543,0.000000,1.000000,1.000000,0.602328,0.000000,0.393154,0.438382,0.577053,0.395656,0.455386,0.505488,1.000000,0.000000,0.966898,0.027238,0.595169,0.597010
2,1,2,4,5,5,5,3,2,5,1.000000,0.723699,0.000000,0.969663,0.412476,0.554516,0.718121,0.377005,0.322781,0.260787,0.837020,0.931414,0.587570,0.441472,1.000000,0.682382,0.243028,0.978840,0.299177,0.027612,0.276925,0.689468
4,4,4,5,2,2,2,5,3,4,0.309700,0.541126,0.776229,0.283638,0.575119,1.000000,1.000000,0.658796,0.667697,0.476113,0.620239,0.583759,0.784661,0.528862,0.300668,0.739622,0.748693,0.768709,0.751877,0.756073,0.654680,0.523254
3,3,3,3,3,3,3,3,3,3,0.557861,0.569502,0.524496,0.515388,0.559368,0.518319,0.547479,0.531263,0.537822,0.525171,0.593368,0.524174,0.525803,0.519437,0.524538,0.518640,0.515978,0.522154,0.520514,0.512510,0.520842,0.514787
1,1,1,1,1,5,1,1,1,1,0.431914,0.000000,0.000000,0.053718,0.024952,0.000000,0.040791,0.204381,0.033059,0.004483,0.016939,0.000000,0.000000,0.351941,0.447204,0.000000,0.009817,0.002703,0.018251,0.019756,0.031451,0.668835
4,3,4,2,2,3,3,3,4,4,0.376272,0.747621,0.541865,0.509465,0.441593,0.501479,0.324748,0.721971,0.769658,0.779880,0.666710,0.262974,0.481552,0.619402,0.524153,0.749507,0.750021,0.773201,0.778255,0.531008,0.779600,0.564761
5,5,5,1,5,5,5,1,5,1,1.000000,0.774868,1.000000,1.000000,0.980888,0.058714,0.077410,0.976835,1.000000,1.000000,0.597152,0.631396,0.433796,1.000000,1.000000,0.525831,0.961168,0.033084,1.000000,1.000000,0.980006,0.990075
5,1,1,5,1,1,5,1,1,1,0.000000,0.293545,0.000000,1.000000,0.011171,0.069318,1.000000,0.477936,0.022443,0.000000,0.314007,0.404917,0.477763,0.000000,0.509378,0.397624,0.000223,0.000000,1.000000,0.000000,0.532699,0.000000
3,4,3,4,3,3,3,2,2,3,0.536397,0.446307,0.756660,0.527710,0.723143,0.299554,0.801158,0.512893,0.470484,0.277179,0.594864,0.637864,0.558962,0.521156,0.517930,0.518380,0.522217,0.513560,0.533476,0.804582,0.413678,0.608240
3,2,3,3,3,2,4,3,2,3,0.427801,0.491109,0.252407,0.750288,0.446703,0.516421,0.516123,0.458256,0.397024,0.257141,0.539452,0.535401,0.428458,0.289091,0.547397,0.541692,0.535168,0.492978,0.508621,0.267000,0.407662,0.280615
2,3,2,4,4,3,4,4,3,2,0.713405,0.618910,0.495182,0.755122,0.656946,0.761753,0.803567,0.329218,0.355559,0.533524,0.473025,0.767885,0.685294,0.522304,0.685729,0.272801,0.272863,0.299382,0.270649,0.532223,0.377851,0.506536
5,1,1,5,5,1,5,5,1,1,0.589865,0.272475,0.000000,1.000000,0.406277,1.000000,1.000000,0.567146,0.038005,0.016560,0.662714,1.000000,0.603516,0.039501,0.480904,0.481924,0.000000,0.099589,1.000000,0.000000,0.498362,0.016907
5,5,5,5,5,5,5,5,5,5,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
4,2,3,3,2,2,3,3,3,3,0.306288,0.550922,0.260222,0.544982,0.317425,0.491305,0.524683,0.635846,0.541088,0.541806,0.545716,0.378903,0.523934,0.332357,0.377794,0.660154,0.561332,0.489441,0.791546,0.247679,0.638784,0.245025
2,3,4,4,4,2,3,5,4,2,0.575185,0.617803,0.521574,0.488605,0.709635,0.991981,0.790663,0.443200,0.793366,0.775674,0.461355,0.754636,0.744598,0.528765,0.359735,0.234120,0.777951,0.245834,0.257527,0.496574,0.516061,0.409264
3,3,2,3,4,3,4,3,4,2,0.685900,0.711039,0.532083,0.774239,0.637759,0.513065,0.566553,0.432060,0.476120,0.773197,0.523211,0.649339,0.621516,0.625679,0.660716,0.387352,0.261654,0.264420,0.514899,0.477398,0.636934,0.515660
3,2,2,5,2,3,4,3,1,4,0.413584,0.477498,0.258504,0.790519,0.304047,0.480383,1.000000,0.457324,0.230297,0.000196,0.516949,0.588276,0.600436,0.243861,0.614847,0.709840,0.253312,0.751332,0.499428,0.287563,0.303052,0.466685
2,4,2,2,2,3,3,3,2,4,0.409851,0.462094,0.776125,0.524938,0.585500,0.564371,0.292900,0.323130,0.254730,0.247989,0.455596,0.243674,0.279522,0.530813,0.510186,0.516295,0.223425,0.786768,0.293919,0.736959,0.280577,0.587674
4,3,3,3,3,2,2,4,4,3,0.429780,0.600622,0.528935,0.271971,0.537359,0.793890,0.510358,0.596183,0.642731,0.769967,0.640074,0.531692,0.609342,0.522118,0.273864,0.647137,0.495261,0.517956,0.798975,0.513465,0.798098,0.354449
3,3,3,3,4,4,3,3,3,3,0.779134,0.547021,0.521720,0.545090,0.663821,0.504842,0.541173,0.591364,0.531492,0.496410,0.667232,0.660513,0.525910,0.599040,0.615406,0.542101,0.479248,0.519919,0.520123,0.516111,0.539648,0.675449
1,1,1,1,5,1,1,1,5,1,0.614070,0.462361,0.042796,0.004754,0.421903,0.000000,0.033630,0.000000,0.442309,1.000000,0.378275,0.564621,0.508676,0.329826,0.078631,0.065024,0.036509,0.000000,0.035618,0.000000,0.486056,0.000000
1,1,1,1,5,5,5,1,5,1,1.000000,0.759860,0.026161,1.000000,0.384319,0.000000,0.000000,0.240927,0.476537,1.000000,0.319733,0.503219,0.467048,0.686348,1.000000,0.024246,0.000000,0.054066,0.000000,0.000000,0.495528,0.558755
1,3,5,1,5,3,4,5,1,1,0.810015,0.285166,0.494740,0.777650,0.725549,1.000000,0.084036,0.517285,0.580013,0.017461,0.357746,0.592602,0.068313,0.376341,0.689952,0.000000,0.986894,0.000000,0.006447,0.495483,0.001056,0.519635
3,3,3,3,4,3,3,1,3,2,0.678165,0.480837,0.511081,0.515008,0.644627,0.046350,0.556983,0.534943,0.528278,0.523649,0.591370,0.655603,0.530379,0.533339,0.533571,0.370657,0.511787,0.285220,0.487006,0.527959,0.537377,0.531771
3,3,1,4,5,1,2,3,3,3,0.609894,0.421879,0.513366,0.285758,0.790206,0.510694,0.782263,0.190998,0.207485,0.522888,0.689895,0.902517,0.601463,0.336243,0.147953,0.535200,0.034889,0.510301,0.525663,0.540951,0.526686,0.205731
4,3,3,3,3,3,3,3,3,3,0.562379,0.576194,0.511400,0.524301,0.547182,0.519242,0.549788,0.640216,0.534217,0.514015,0.680510,0.527614,0.500409,0.518347,0.516425,0.625132,0.504829,0.550146,0.763367,0.504983,0.662821,0.527278
3,3,3,3,3,2,3,3,2,4,0.460294,0.467509,0.538286,0.532811,0.535322,0.520278,0.537698,0.463971,0.416962,0.268929,0.683507,0.548469,0.413995,0.344283,0.390700,0.663311,0.538276,0.759207,0.516476,0.526257,0.407761,0.373071
1,5,1,1,1,1,5,1,5,1,0.000000,0.803265,1.000000,1.000000,0.508066,0.016854,0.000000,0.000000,0.480944,1.000000,0.000000,0.000000,0.424187,0.658442,0.547786,0.000000,0.009770,0.000000,0.058901,1.000000,0.563114,0.420660
5,3,3,3,4,3,1,2,1,5,0.670800,0.200479,0.550261,0.000000,0.615868,0.207352,0.473601,0.773175,0.359309,0.015371,0.949997,0.651800,0.277823,0.387924,0.190988,1.000000,0.500896,1.000000,1.000000,0.512026,0.488641,0.524361
3,3,5,3,4,3,3,3,4,3,0.726667,0.670738,0.498228,0.545423,0.660879,0.504696,0.550193,0.656689,0.911295,0.773746,0.653080,0.644153,0.642990,0.606101,0.523916,0.510698,1.000000,0.480608,0.536605,0.507549,0.618973,0.534261
1,1,1,1,5,5,5,1,1,1,0.994079,0.302089,0.069748,1.000000,0.466280,0.087437,0.000000,0.184681,0.032921,0.000000,0.357964,0.623760,0.107829,0.347702,0.962426,0.050567,0.001625,0.000000,0.004038,0.034020,0.014272,0.652958
4,4,2,3,3,3,3,5,5,5,0.546223,0.914996,0.777854,0.527127,0.713646,1.000000,0.557601,0.533981,0.606046,1.000000,0.846307,0.513216,0.735970,0.721119,0.528417,0.930561,0.267619,1.000000,0.758685,0.749290,0.896310,0.574099
4,3,3,3,3,3,3,4,2,3,0.547206,0.436490,0.525321,0.536445,0.547298,0.741478,0.556882,0.654428,0.451258,0.247983,0.668620,0.503010,0.408727,0.432404,0.507411,0.640714,0.523680,0.533408,0.816937,0.496333,0.532408,0.516442
3,3,2,3,4,3,3,3,3,3,0.712733,0.563738,0.512336,0.532326,0.647116,0.497948,0.528367,0.442752,0.373615,0.529192,0.675472,0.655884,0.541608,0.522861,0.530385,0.511854,0.255131,0.528266,0.512684,0.521849,0.532226,0.514444
5,5,5,1,1,5,5,1,1,1,0.468210,0.322522,0.995306,1.000000,0.582284,0.043968,0.007447,1.000000,0.605143,0.021813,0.324174,0.031273,0.000000,0.763438,1.000000,0.504838,1.000000,0.032116,1.000000,1.000000,0.541962,1.000000
5,1,5,5,5,1,5,5,5,1,0.603318,0.783050,0.048221,1.000000,0.466075,1.000000,1.000000,0.838469,0.950589,1.000000,0.645278,1.000000,0.973327,0.341967,0.556719,0.467543,1.000000,0.087573,1.000000,0.015554,0.990675,0.000000
3,4,1,1,4,2,2,3,5,3,0.580952,0.689670,0.784713,0.267595,0.781305,0.538660,0.028747,0.293831,0.445351,1.000000,0.637190,0.445829,0.476666,0.653938,0.278978,0.496233,0.002966,0.531623,0.541555,0.794183,0.761437,0.423075
1,1,1,1,1,5,5,5,1,5,0.477375,0.476581,0.021875,1.000000,0.061196,1.000000,0.034525,0.252737,0.018507,0.039433,0.277553,0.011425,0.056842,0.340583,0.973676,0.608256,0.007536,0.954519,0.000000,0.000000,0.063303,0.719397
4,2,2,1,2,4,2,4,1,2,0.441789,0.117228,0.226723,0.232392,0.254765,0.784066,0.000000,0.597475,0.155145,0.057364,0.452563,0.194860,0.010261,0.352364,0.504557,0.490905,0.246195,0.278723,0.745691,0.252136,0.383507,0.509715
4,2,3,4,2,3,3,3,4,3,0.395425,0.665402,0.259731,0.513907,0.278086,0.514486,0.751559,0.628092,0.649064,0.770714,0.568501,0.453341,0.785917,0.498407,0.514165,0.647220,0.550001,0.519943,0.768070,0.283215,0.767718,0.431724
2,4,2,4,3,3,2,4,4,3,0.556938,0.639429,0.762078,0.282273,0.693471,0.773023,0.772752,0.281109,0.475232,0.804638,0.482266,0.611512,0.734556,0.705834,0.370445,0.410715,0.253730,0.535990,0.306967,0.748863,0.490991,0.619733
4,3,4,4,3,4,4,3,2,4,0.646508,0.586967,0.535512,0.752540,0.528325,0.480686,0.813640,0.760558,0.568368,0.272144,0.751997,0.638007,0.556774,0.493040,0.765599,0.757946,0.792116,0.768295,0.788222,0.485985,0.548998,0.669501
3,3,3,3,3,4,4,4,4,2,0.649956,0.697195,0.540726,0.771111,0.563875,0.778527,0.579129,0.544265,0.622261,0.771004,0.540098,0.521317,0.664007,0.707593,0.747863,0.378552,0.517377,0.295768,0.508854,0.523460,0.667125,0.690594
3,2,4,3,4,1,3,3,3,4,0.511355,0.616449,0.262896,0.503801,0.538856,0.542291,0.557459,0.517863,0.630297,0.499000,0.735345,0.622132,0.516030,0.228080,0.242592,0.672702,0.768326,0.779394,0.525712,0.287490,0.536534,0.110465
2,4,3,2,3,3,2,3,4,3,0.523872,0.594846,0.776317,0.269250,0.680831,0.511690,0.325021,0.398754,0.654157,0.783410,0.467994,0.433803,0.519454,0.695598,0.400991,0.423213,0.555069,0.509860,0.272557,0.762494,0.526790,0.614390
3,2,3,2,4,3,4,2,4,4,0.648874,0.817370,0.261454,0.757619,0.522242,0.277901,0.320867,0.465025,0.597395,0.779045,0.755198,0.559831,0.488801,0.521616,0.666197,0.620481,0.513160,0.746847,0.443189,0.236894,0.608134,0.425872
1,3,3,2,4,3,1,3,4,3,0.666761,0.541860,0.526477,0.000000,0.629174,0.530035,0.285887,0.295617,0.626728,0.800958,0.432539,0.592555,0.478759,0.597502,0.275353,0.288689,0.519711,0.531190,0.030061,0.507590,0.419474,0.540799
5,1,4,2,5,1,1,4,3,4,0.621615,0.380514,0.000000,0.017298,0.447235,0.775397,0.309667,0.731484,0.616496,0.511559,0.945890,0.730406,0.343698,0.187984,0.008798,0.937709,0.776030,0.716759,1.000000,0.112458,0.762388,0.007274
3,2,3,3,3,3,3,1,3,3,0.550508,0.518254,0.269316,0.481396,0.405523,0.052690,0.555164,0.494664,0.507918,0.522181,0.589753,0.522942,0.501706,0.433451,0.513566,0.518355,0.491001,0.522678,0.514037,0.280272,0.513996,0.436229
1,1,5,1,1,1,5,1,1,5,0.024445,0.565643,0.024717,1.000000,0.000000,0.035831,0.017402,0.342007,0.628198,0.000000,0.389037,0.000000,0.005527,0.000000,0.595519,0.532419,1.000000,1.000000,0.024339,0.054779,0.059806,0.021848
4,3,3,4,3,3,3,3,3,2,0.546535,0.460638,0.529999,0.504964,0.538959,0.529040,0.798619,0.641023,0.532369,0.497838,0.606275,0.616357,0.665574,0.531560,0.514174,0.542173,0.516511,0.255721,0.753519,0.530914,0.691094,0.539046
